horizon	split	method	metric	value
2	valid	naive_last_conductance	precision	0.930024814
2	valid	naive_last_conductance	recall	0.930486594
2	valid	naive_last_conductance	interval_coverage	nan
2	valid	naive_last_conductance	interval_width	nan
2	valid	naive_last_conductance	pinball_q0.1	nan
2	valid	naive_last_conductance	pinball_q0.5	nan
2	valid	naive_last_conductance	pinball_q0.9	nan
2	valid	naive_last_conductance	pinball_q0.95	nan
2	valid	naive_last_conductance	pinball_q0.99	nan
2	valid	naive_last_conductance	tail_count	2014
2	valid	naive_last_conductance	tail_mae	314.2080433
2	valid	naive_last_conductance	tail_rmse	597.9505579
2	valid	naive_last_conductance	tail_r2	0.916697018
2	test	torch_tail	observed_count	179345
2	test	torch_tail	mae	66.13685029
2	test	torch_tail	rmse	190.9111093
2	test	torch_tail	r2	0.918604478
2	test	torch_tail	auc	0.998176048
2	test	torch_tail	f1	0.725003628
2	test	torch_tail	precision	0.581606519
2	test	torch_tail	recall	0.962249615
2	test	torch_tail	interval_coverage	0.784315147
2	test	torch_tail	interval_width	329.6027246
2	test	torch_tail	pinball_q0.1	17.31997335
2	test	torch_tail	pinball_q0.5	33.06842515
2	test	torch_tail	pinball_q0.9	16.99966538
2	test	torch_tail	pinball_q0.95	11.36472527
2	test	torch_tail	pinball_q0.99	4.469037235
2	test	torch_tail	tail_count	2596
2	test	torch_tail	tail_mae	581.7831443
2	test	torch_tail	tail_rmse	1141.30343
2	test	torch_tail	tail_r2	0.549107527
2	test	naive_last_conductance	observed_count	177439
2	test	naive_last_conductance	mae	45.04618489
2	test	naive_last_conductance	rmse	154.6290921
2	test	naive_last_conductance	r2	0.944386213
2	test	naive_last_conductance	auc	0.998420213
2	test	naive_last_conductance	f1	0.885285285
2	test	naive_last_conductance	precision	0.885817308
2	test	naive_last_conductance	recall	0.884753902
2	test	naive_last_conductance	interval_coverage	nan
2	test	naive_last_conductance	interval_width	nan
2	test	naive_last_conductance	pinball_q0.1	nan
2	test	naive_last_conductance	pinball_q0.5	nan
2	test	naive_last_conductance	pinball_q0.9	nan
2	test	naive_last_conductance	pinball_q0.95	nan
2	test	naive_last_conductance	pinball_q0.99	nan
2	test	naive_last_conductance	tail_count	2499
2	test	naive_last_conductance	tail_mae	498.0014671
2	test	naive_last_conductance	tail_rmse	858.8303723
2	test	naive_last_conductance	tail_r2	0.720273053
3	train	torch_tail	observed_count	570295
3	train	torch_tail	mae	68.32085843
3	train	torch_tail	rmse	192.8580384
3	train	torch_tail	r2	0.957313625
3	train	torch_tail	auc	0.996954952
3	train	torch_tail	f1	0.835522593
3	train	torch_tail	precision	0.726483995
3	train	torch_tail	recall	0.983072825
3	train	torch_tail	interval_coverage	0.900339298
3	train	torch_tail	interval_width	433.7890027
3	train	torch_tail	pinball_q0.1	19.17838713
3	train	torch_tail	pinball_q0.5	34.16042922
3	train	torch_tail	pinball_q0.9	17.5492249
3	train	torch_tail	pinball_q0.95	11.28068912
3	train	torch_tail	pinball_q0.99	3.870213539
