model,split,auc,f1,interval_coverage,interval_width,mae,observed_count,pinball_q0.1,pinball_q0.5,pinball_q0.9,pinball_q0.95,pinball_q0.99,precision,r2,recall,rmse,tail_count,tail_mae,tail_r2,tail_rmse
seq_tcn_tail,valid,0.9318281418942786,0.5779108051481592,0.7071405692050348,1879.490683228338,593.328796157155,84293,193.8355781857309,296.6643980785775,149.02951986602937,96.00944062226041,30.359592594717725,0.43345905172413796,-0.4530572303177747,0.8667624349075238,1412.6564714532694,5569,1478.4063833479522,-1.5263958806503704,1750.6468269423872
seq_retrieval_prototype_tail,test,0.808431553818061,0.484731554786774,0.521663942138378,1489.7983390240202,475.6014007861228,190247,109.99389583611558,237.8007003930614,140.5057033114212,103.80129538641559,56.914462180514484,0.41945883707541737,0.5736479364334544,0.574062401512764,806.4628041325019,6346,2787.7007301780204,-1.4441626410005068,3442.5249346454193
seq_retrieval_prototype_tail,test_station_early,0.6376101476516511,0.19820571667014397,0.5322570619211268,1242.782566095019,536.9208721794656,112611,102.43870878258865,268.4604360897328,210.2543595826428,175.385651829115,123.94636273345793,0.32894736842105265,0.1462106867879014,0.14183338309943266,1013.0515111528825,6698,2919.3110095252205,-4.003067086443048,3598.8207305642436
seq_retrieval_prototype_tail,test_station_late,0.808431553818061,0.484731554786774,0.521663942138378,1489.7983390240202,475.6014007861228,190247,109.99389583611558,237.8007003930614,140.5057033114212,103.80129538641559,56.914462180514484,0.41945883707541737,0.5736479364334544,0.574062401512764,806.4628041325019,6346,2787.7007301780204,-1.4441626410005068,3442.5249346454193
seq_retrieval_prototype_tail,train,0.8736179503001331,0.47915095167090604,0.554766187855193,1462.12737676447,388.1124737696217,558675,90.50807648345015,194.05623688481086,103.98701132017652,70.15676155997588,27.095466522093627,0.4698778599690349,0.6000189585370963,0.48879742304939156,610.5883505877654,27940,1104.9786908143576,-0.3255701319466642,1391.335673963195
seq_retrieval_prototype_tail,train_station_early,0.8736179503001331,0.47915095167090604,0.554766187855193,1462.12737676447,388.1124737696217,558675,90.50807648345015,194.05623688481086,103.98701132017652,70.15676155997588,27.095466522093627,0.4698778599690349,0.6000189585370963,0.48879742304939156,610.5883505877654,27940,1104.9786908143576,-0.3255701319466642,1391.335673963195
seq_retrieval_prototype_tail,train_station_late,0.7316150065663884,0.04090168001701283,0.4908366440574778,1369.1467999430984,422.9592936638365,768714,118.06024509451869,211.47964683191825,110.94570841656797,74.52530450809407,29.33928217658304,0.0615401023890785,0.0005050868738761816,0.03062957851151927,824.2614704454027,18838,1676.796018183111,-0.9086733915549676,2208.472506895505
seq_retrieval_prototype_tail,valid,0.8031014083411158,0.5328489880643488,0.47786886218309943,2364.245502232467,828.8088010346929,84293,325.1542828563609,414.40440051734646,186.51981997926472,120.3750285236541,43.07938378252849,0.6313330054107231,-2.589510319544163,0.4609445142754534,2220.3058671260915,5569,1660.01977680444,-1.9248212743989424,1883.6382688841284
seq_retrieval_prototype_tail_nograph,test,0.8262709658252405,0.3771086700666928,0.6532560303184807,1254.7866235556696,432.26092041941814,190247,81.92068899768529,216.13046020970907,178.63953676933215,151.4233883571109,104.41024915633925,0.27374341449523,0.39863174749348596,0.6058934762054837,957.7902360276063,6346,4238.657864546272,-3.425904236191341,4632.474636644253
seq_retrieval_prototype_tail_nograph,test_station_early,0.6940923038584571,0.2440944881889764,0.7144062302972178,1082.8322172409357,435.09635233506253,112611,73.60182571240688,217.54817616753127,201.7894702393597,175.30005161492613,120.63059720839878,0.3768703241895262,0.23120360863764178,0.180501642281278,961.3064129728118,6698,2968.6853983330348,-3.843422379209982,3540.9371831845683
seq_retrieval_prototype_tail_nograph,test_station_late,0.8262709658252405,0.3771086700666928,0.6532560303184807,1254.7866235556696,432.26092041941814,190247,81.92068899768529,216.13046020970907,178.63953676933215,151.4233883571109,104.41024915633925,0.27374341449523,0.39863174749348596,0.6058934762054837,957.7902360276063,6346,4238.657864546272,-3.425904236191341,4632.474636644253
seq_retrieval_prototype_tail_nograph,train,0.9775934683683994,0.6421896363567943,0.7600035798988679,1096.8191687117662,307.3993637625688,558675,59.650443113095186,153.6996818812844,114.89397699929827,92.15713643519923,57.09917176294279,0.4943512099032464,0.5017549504803743,0.9161775232641375,681.4755940027943,27940,1865.052142976776,-2.462888387586719,2248.794718819261
seq_retrieval_prototype_tail_nograph,train_station_early,0.9775934683683994,0.6421896363567943,0.7600035798988679,1096.8191687117662,307.3993637625688,558675,59.650443113095186,153.6996818812844,114.89397699929827,92.15713643519923,57.09917176294279,0.4943512099032464,0.5017549504803743,0.9161775232641375,681.4755940027943,27940,1865.052142976776,-2.462888387586719,2248.794718819261
seq_retrieval_prototype_tail_nograph,train_station_late,0.8615792407394554,0.4881015687317203,0.6595235679329373,1014.6784833306137,306.8252195400785,768714,58.44682912863415,153.41260977003924,117.53891584030735,94.08833574046722,57.00104175519102,0.3552663408969955,0.40858832549672053,0.7795944367767279,634.0443721836575,18838,2916.016581315323,-3.265572454966808,3301.526968854264
seq_retrieval_prototype_tail_nograph,valid,0.9263526581256917,0.6121065375302663,0.6252951016098608,1453.921431249479,471.5327613212335,84293,121.21500122146271,235.76638066061676,153.82144122621352,113.16472646893988,52.29898681614243,0.46169299607341796,0.49228658970676065,0.9078829233255522,835.0346955970463,5569,2006.9953403510574,-3.1193036092403554,2235.4231279441665
seq_retrieval_prototype_tail_noproto,test,0.9394310742046457,0.5168793612874835,0.34473605365656224,1361.6330917271596,756.8198225264614,190247,239.97550369754293,378.4099112632307,230.39235681661347,185.9542890461503,112.15333721788734,0.4299759439389185,0.06398578945012401,0.6478096438701544,1194.9270100614995,6346,3744.3682419193533,-2.542367732535132,4144.373283565272
seq_retrieval_prototype_tail_noproto,test_station_early,0.843355215174225,0.2267253358036128,0.3821473923506585,927.7285577711071,656.7689668333735,112611,143.0238143468079,328.38448341668675,330.71684993666963,307.329020233824,245.7720568340449,0.5051599587203303,-0.11359880761928887,0.14616303374141534,1156.9658765537117,6698,3201.0552555470367,-4.104229615694478,3635.0229054980064
seq_retrieval_prototype_tail_noproto,test_station_late,0.9394310742046457,0.5168793612874835,0.34473605365656224,1361.6330917271596,756.8198225264614,190247,239.97550369754293,378.4099112632307,230.39235681661347,185.9542890461503,112.15333721788734,0.4299759439389185,0.06398578945012401,0.6478096438701544,1194.9270100614995,6346,3744.3682419193533,-2.542367732535132,4144.373283565272
seq_retrieval_prototype_tail_noproto,train,0.9482747986630471,0.6736137292455249,0.4857224683402694,1124.1099149006063,478.41982988211083,558675,135.84160092636003,239.20991494105542,126.1694940247106,91.55853016099213,37.91853473478344,0.5820541554820047,0.4155969425630127,0.7993557623478883,738.0487523215661,27940,1196.5895796790153,-0.4303238623655483,1445.2659059681184
seq_retrieval_prototype_tail_noproto,train_station_early,0.9482747986630471,0.6736137292455249,0.4857224683402694,1124.1099149006063,478.41982988211083,558675,135.84160092636003,239.20991494105542,126.1694940247106,91.55853016099213,37.91853473478344,0.5820541554820047,0.4155969425630127,0.7993557623478883,738.0487523215661,27940,1196.5895796790153,-0.4303238623655483,1445.2659059681184
seq_retrieval_prototype_tail_noproto,train_station_late,0.8702073444299354,0.5160406255037885,0.39133279737327537,1180.2842649789427,604.254847117956,768714,195.24382626165658,302.127423558978,159.65653525605018,119.63873543209,64.10503567646575,0.5224700761697497,-0.7419077783893593,0.5097674912411084,1088.1462874886008,18838,2408.995574932542,-2.3453720108635774,2923.8049504188016
seq_retrieval_prototype_tail_noproto,valid,0.9012372840612767,0.46252927400468385,0.33457107944906456,2095.847682666076,1150.6928216339256,84293,415.7858577243113,575.3464108169628,282.8086272552229,207.8873705915126,103.78393210336142,0.5065184868561659,-4.619144807503965,0.42557012030885255,2777.9876809590223,5569,2069.5789098371442,-3.319572155219597,2289.1181307281754
